num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
849	2253.141409	44.631243	0.331932	-1.347045	1.502363
851	2255.209427	48.009233	-3.275152	-1.297404	2.040953
853	2257.284636	48.219640	-2.202760	-1.309018	1.573787
855	2259.367569	51.258490	-0.731817	-1.332360	1.306441
857	2261.440354	51.857927	-2.227875	-1.311353	1.489265
859	2263.503415	45.995165	-2.702695	-1.304888	1.039727
861	2265.592473	53.411375	-0.977848	-1.334572	1.058796
863	2267.656088	50.927791	-2.102795	-1.318572	1.071008
865	2269.728422	54.213930	-1.848368	-1.328422	1.371381
867	2271.792761	49.007528	-0.993710	-1.339508	1.254708
869	2273.855487	45.906018	-0.605372	-1.335741	1.343294
871	2275.917444	45.374625	-1.845468	-1.312761	1.260783
873	2277.985468	45.176718	-1.803940	-1.310591	1.752125
875	2280.063071	45.892606	-0.460323	-1.333471	1.954918
877	2282.143425	46.044109	-1.309096	-1.339004	1.126893
879	2284.215444	50.724906	1.006896	-1.371638	1.255619
881	2286.263483	42.883866	0.514892	-1.358869	1.160492
883	2288.329456	43.414286	-1.731399	-1.314008	1.493297
885	2290.409786	39.714826	-0.786071	-1.326090	1.758954
887	2292.486889	46.761535	1.437870	-1.374321	1.023032
889	2294.565447	48.366057	1.456211	-1.380337	1.098361
891	2296.639284	49.980948	0.681731	-1.364342	1.003771
893	2298.691709	0.797960	-52.938729	0.208491	1.118491
895	2300.755424	1.026471	-51.571843	0.201088	1.515536
897	2302.831570	1.361619	-50.747001	0.197470	1.707969
899	2304.904826	1.037004	-49.482329	0.204345	1.485736
901	2306.971409	0.052085	-50.530828	0.215174	0.833203
903	2309.037459	1.348748	-52.500680	0.203456	0.964058
905	2311.115315	1.303575	-50.646912	0.202282	0.883515
907	2313.181445	0.000000	-50.919594	0.219251	1.254849
909	2315.262617	0.000000	-50.033050	0.218465	1.087872
911	2317.327430	0.112005	-52.245756	0.219650	1.185043
913	2319.391507	0.025820	-53.129190	0.219405	1.804894
915	2321.453435	0.234366	-54.822606	0.217750	1.237288
917	2323.542864	0.000000	-50.805587	0.218928	1.360928
919	2325.613418	0.299781	-51.020392	0.212638	0.720078
921	2327.693484	0.375716	-48.009057	0.207272	1.419107
923	2329.760845	0.527161	-47.869429	0.203614	1.183379
925	2331.823549	1.005284	-50.580981	0.206580	0.873214
927	2333.889368	0.000000	51.142215	-2.916965	0.832243
929	2335.919387	0.907810	63.271150	-2.917931	1.904339
931	2338.025455	0.610770	52.237000	-2.915657	1.309421
933	2340.107432	0.631460	51.494496	-2.917007	1.004213
935	2342.183845	0.000000	49.205979	-2.927318	1.167550
937	2344.265327	0.242088	46.112846	-2.925537	0.796974
939	2346.313361	0.099847	53.472586	-2.929039	0.699764
941	2348.385454	0.000000	51.616264	-2.925707	0.696009
943	2350.455431	0.185117	51.190161	-2.921754	0.710667
945	2352.526259	0.000000	51.537439	-2.922470	0.451466
947	2354.591402	0.810310	52.402159	-2.910994	1.011695
949	2356.664840	1.170075	51.275583	-2.907170	1.029927
951	2358.735781	0.574868	52.209485	-2.914617	1.089695
953	2360.807463	1.687236	52.406137	-2.904753	1.309407
955	2362.881277	1.787039	52.424300	-2.906356	0.699352
957	2364.965225	2.690575	49.934565	-2.889112	0.875776
959	2367.032776	1.821134	48.869839	-2.899447	0.911973
961	2369.100167	1.977073	50.874663	-2.892866	0.822663
963	2371.159486	1.113468	53.515960	-2.906826	0.785559
965	2373.216870	0.935413	56.702452	-2.909976	1.075837
967	2375.283395	0.164907	58.400609	-2.918243	1.175192
969	2377.357383	0.397865	56.461404	-2.913932	1.216816
971	2379.437868	1.739497	53.844971	-2.897738	1.409245
973	2381.499403	1.209749	53.539176	-2.910625	0.809543
975	2383.589360	2.556455	50.296883	-2.889924	0.818793
977	2385.657370	2.057220	51.648430	-2.894380	0.640462
979	2387.727447	1.742529	51.696768	-2.895085	0.951264
981	2389.797412	2.069402	52.896548	-2.889634	0.775140
983	2391.856941	1.553238	56.368327	-2.898512	0.692847
985	2393.921454	1.510625	56.891998	-2.900766	1.230927
987	2395.977391	1.659406	60.946708	-2.903411	1.093403
989	2398.055482	1.941310	59.297395	-2.894830	0.823871
991	2400.117548	1.401369	58.224361	-2.908947	0.818553
993	2402.206550	1.933117	56.537719	-2.893097	0.601111
995	2404.276795	2.300783	56.533452	-2.887888	0.985495
997	2406.350556	1.961031	55.225729	-2.893146	0.836058
999	2408.417415	2.293091	56.224467	-2.888559	0.890877
1001	2410.507562	1.472999	50.767321	-2.897473	0.341357
1003	2412.579408	2.242520	52.341918	-2.888190	0.810419
1005	2414.652816	2.826957	53.127240	-2.885116	0.625987
1007	2416.703437	1.868763	55.192120	-2.897715	0.749506
1009	2418.771427	2.503995	55.405270	-2.885234	0.960825
1011	2420.825491	2.178753	61.069602	-2.890111	0.805554
1013	2422.897398	2.255059	59.787478	-2.888751	0.889986
1015	2424.885410	1.638545	80.163300	-2.926223	0.981603
1017	2427.043619	2.427190	59.011888	-2.888435	1.152512
1019	2429.105399	1.904221	61.621100	-2.895757	0.717611
1021	2431.193413	2.945056	56.294699	-2.878778	0.761948
1023	2433.269418	2.412850	56.449578	-2.884951	0.727349
1025	2435.341450	2.376776	55.977210	-2.885565	0.505073
1027	2437.420907	3.065522	53.326826	-2.877093	0.712628
1029	2439.488589	3.144730	53.832811	-2.874783	0.380477
1031	2441.543470	2.893787	58.036962	-2.885605	0.519073
1033	2443.636723	3.009934	53.352525	-2.877900	0.672160
1035	2445.691408	3.359388	56.557788	-2.869108	0.648981
1037	2447.757497	3.132176	57.756271	-2.876279	0.623274
1039	2449.841970	3.398430	54.025451	-2.864502	0.644656
1041	2451.893401	3.028547	57.917274	-2.877756	0.693676
1043	2453.963419	2.919340	57.836469	-2.875497	0.796170
1045	2456.017386	2.435231	62.953236	-2.889542	0.699625
1047	2458.085473	2.116248	62.275609	-2.890777	0.918729
1049	2460.133506	2.124417	67.568192	-2.893433	1.182798
1051	2462.235760	2.770545	59.480406	-2.882704	1.164664
1053	2464.301450	2.925261	59.930797	-2.875530	0.743865
1055	2466.385296	3.029907	60.131615	-2.875535	0.395925
1057	2468.454311	2.888804	58.490205	-2.881245	0.699884
1059	2470.537470	4.173327	55.167892	-2.860200	0.671276
1061	2472.614523	3.865375	54.358326	-2.862080	0.623392
1063	2474.686512	4.458484	53.925379	-2.849898	0.265593
1065	2476.751993	3.261606	55.530546	-2.868586	0.274672
1067	2478.815404	3.741654	57.722760	-2.863457	0.659713
1069	2480.883459	3.131910	58.104812	-2.873301	0.604797
1071	2482.949110	3.072594	58.604924	-2.870497	0.834218
