num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3707	4108.342222	89.621358	0.238357	1.819683	20.971374
3709	4110.411787	90.963453	3.811423	1.821674	24.120396
3711	4112.482039	95.457160	0.389027	1.811395	23.270164
3713	4114.553797	92.642999	3.603032	1.822094	24.179549
3715	4116.624100	93.538739	0.339107	1.815499	25.433755
3717	4118.695762	94.796507	0.334314	1.811000	26.090627
3719	4120.767290	101.081517	0.627623	1.815974	26.133761
3721	4122.839938	97.977954	0.330250	1.808280	26.435798
3723	4124.912216	100.628853	0.610331	1.806065	29.528194
3725	4126.984236	103.761818	0.788926	1.818495	29.128767
3727	4129.056896	104.824437	0.635518	1.801289	29.478816
3729	4131.128815	106.347128	0.999946	1.820046	31.593874
3731	4133.200806	106.482773	0.719333	1.801890	32.409287
3733	4135.273371	105.027951	2.666333	1.808564	32.567141
3735	4137.345555	114.526736	0.833176	1.802699	35.123984
3737	4139.418295	110.416691	0.689875	1.807091	34.786343
3739	4141.490818	112.852466	0.887111	1.799522	35.599368
3741	4143.564479	115.732273	1.256817	1.811072	36.110645
3743	4145.637552	117.785661	1.423723	1.818045	38.367258
3745	4147.710768	117.598082	0.619954	1.801289	39.779340
3747	4149.783459	119.603399	1.061186	1.798462	41.750130
3749	4151.854950	117.265104	2.563846	1.801812	40.559064
3751	4153.926368	122.762353	1.161381	1.795388	41.469888
3753	4155.997781	122.965968	0.867851	1.799687	42.691037
3755	4158.069635	121.409080	3.099269	1.794450	43.614388
3757	4160.141198	132.550545	1.242144	1.805468	45.594119
3759	4162.213568	126.873626	1.002874	1.798165	45.156902
3761	4164.286233	135.825423	1.395711	1.800452	47.220369
3763	4166.358956	132.009885	1.723007	1.804098	48.711963
3765	4168.431721	125.569552	3.830412	1.784494	48.494382
3767	4170.504022	139.659642	1.463241	1.782780	50.063292
3769	4172.576882	128.879310	3.827605	1.787845	51.044567
3771	4174.649807	136.445942	0.896819	1.794460	53.097764
3773	4176.722113	144.529629	1.744335	1.806588	52.847408
3775	4178.795313	134.641524	1.053557	1.807033	53.407613
3777	4180.868163	147.526619	1.608388	1.791278	54.997130
3779	4182.942127	143.732346	2.175658	1.815690	56.263653
3781	4185.015431	146.887336	1.789120	1.804122	58.193678
3783	4187.089241	146.473745	1.468775	1.785942	58.705363
3785	4189.163072	144.620686	5.178578	1.785839	59.051135
3787	4191.236184	149.195057	1.713355	1.779760	60.133468
3789	4193.309195	149.391090	1.406718	1.795668	62.928382
3791	4195.381714	143.339340	5.409367	1.780851	63.594904
3793	4197.453967	152.065326	1.078107	1.794887	64.986254
3795	4199.526540	154.216345	1.778124	1.786840	64.883766
3797	4201.599172	154.194437	1.604505	1.792219	65.788709
3799	4203.671793	150.445484	8.470618	1.768211	66.803979
3801	4205.744826	156.438926	1.106465	1.792281	69.450294
3803	4207.817857	152.024133	8.364191	1.764401	68.540744
3805	4209.891281	159.023533	1.189025	1.790953	70.946408
3807	4211.964379	154.026293	8.411481	1.758181	71.111400
3809	4214.037782	169.010899	2.535496	1.803768	73.749509
3811	4216.111200	163.362911	2.956139	1.799620	74.688220
3813	4218.184592	163.315364	1.809169	1.794786	73.126134
3815	4220.258534	160.855866	9.094111	1.753527	75.024097
3817	4222.332378	166.545562	1.217571	1.789164	75.742023
3819	4224.406355	174.115855	2.213046	1.769088	75.512870
3821	4226.480551	169.492894	1.962204	1.789951	79.631645
3823	4228.554624	170.442463	3.477731	1.809339	81.208556
3825	4230.628800	171.582524	3.629583	1.809938	84.696196
3827	4232.702395	172.730253	3.419834	1.809612	81.257290
3829	4234.776396	167.040537	6.280386	1.780020	82.404046
3831	4236.849586	174.569613	1.283742	1.787138	84.958475
3833	4238.922722	175.381750	1.713582	1.790820	82.639207
3835	4240.995848	182.383702	2.540316	1.799799	84.210400
3837	4243.068882	176.998208	2.235129	1.788305	85.717766
3839	4245.142351	179.383280	2.160754	1.790570	88.120758
3841	4247.215875	183.872771	12.004515	1.777547	89.200403
3843	4249.289604	186.388011	2.730287	1.797111	91.191758
3845	4251.363352	283.383741	6.791083	1.771046	90.184138
