crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	17.053038	3171	3542340352.000000
281474976710655.000000	18.991369	3172	3543367936.000000
281474976710655.000000	15.250760	3173	3544411648.000000
281474976710655.000000	19.305315	3174	3545437952.000000
281474976710655.000000	24.851543	3175	3546482688.000000
281474976710655.000000	23.348715	3176	3547508224.000000
281474976710655.000000	19.437307	3177	3548553216.000000
281474976710655.000000	20.361156	3178	3549579776.000000
281474976710655.000000	14.776318	3179	3550624000.000000
281474976710655.000000	30.610777	3180	3551649792.000000
281474976710655.000000	24.960051	3181	3552694784.000000
281474976710655.000000	18.576088	3182	3553721088.000000
281474976710655.000000	12.332070	3183	3554764800.000000
281474976710655.000000	25.137115	3184	3555793408.000000
281474976710655.000000	21.505638	3185	3556834560.000000
281474976710655.000000	18.798803	3186	3557863936.000000
281474976710655.000000	23.689428	3187	3558904320.000000
281474976710655.000000	15.202504	3188	3559936512.000000
281474976710655.000000	14.297134	3189	3560974592.000000
281474976710655.000000	15.856030	3190	3562008064.000000
281474976710655.000000	15.905128	3191	3563043840.000000
281474976710655.000000	15.196152	3192	3564078848.000000
281474976710655.000000	15.187595	3193	3565114880.000000
281474976710655.000000	17.464432	3194	3566150144.000000
281474976710655.000000	18.706285	3195	3567184896.000000
281474976710655.000000	18.688608	3196	3568220672.000000
281474976710655.000000	15.144772	3197	3569256192.000000
281474976710655.000000	15.106962	3198	3570290688.000000
281474976710655.000000	14.494569	3199	3571328768.000000
281474976710655.000000	18.629269	3200	3572360704.000000
281474976710655.000000	15.658122	3201	3573399808.000000
281474976710655.000000	21.067646	3202	3574428928.000000
281474976710655.000000	18.875601	3203	3575472896.000000
281474976710655.000000	25.361355	3204	3576499712.000000
281474976710655.000000	25.146042	3205	3577543936.000000
281474976710655.000000	24.997496	3206	3578568704.000000
281474976710655.000000	24.519854	3207	3579616000.000000
281474976710655.000000	18.563143	3208	3580639232.000000
281474976710655.000000	18.812241	3209	3581687040.000000
281474976710655.000000	18.522015	3210	3582709760.000000
281474976710655.000000	22.508659	3211	3583758080.000000
281474976710655.000000	17.500517	3212	3584779776.000000
281474976710655.000000	18.358187	3213	3585829120.000000
281474976710655.000000	25.199657	3214	3586850816.000000
281474976710655.000000	20.164156	3215	3587899904.000000
281474976710655.000000	25.133270	3216	3588921088.000000
281474976710655.000000	18.097176	3217	3589970432.000000
281474976710655.000000	16.131342	3218	3590991872.000000
281474976710655.000000	24.724392	3219	3592041728.000000
281474976710655.000000	20.353676	3220	3593062912.000000
281474976710655.000000	18.280695	3221	3594112512.000000
281474976710655.000000	18.065485	3222	3595133696.000000
281474976710655.000000	17.927824	3223	3596182784.000000
281474976710655.000000	20.289917	3224	3597204480.000000
281474976710655.000000	22.320000	3225	3598253312.000000
281474976710655.000000	12.143460	3226	3599276544.000000
281474976710655.000000	18.372431	3227	3600323072.000000
281474976710655.000000	18.474548	3228	3601346560.000000
281474976710655.000000	17.848288	3229	3602393344.000000
281474976710655.000000	24.286112	3230	3603418880.000000
281474976710655.000000	19.772799	3231	3604463104.000000
281474976710655.000000	24.675323	3232	3605490944.000000
281474976710655.000000	28.825983	3233	3606532352.000000
281474976710655.000000	17.482697	3234	3607562752.000000
281474976710655.000000	15.457713	3235	3608602112.000000
281474976710655.000000	15.484440	3236	3609634816.000000
281474976710655.000000	13.899695	3237	3610672128.000000
281474976710655.000000	13.769594	3238	3611706112.000000
281474976710655.000000	17.111370	3239	3612743168.000000
281474976710655.000000	18.314865	3240	3613776640.000000
281474976710655.000000	13.836089	3241	3614813440.000000
281474976710655.000000	15.064867	3242	3615846912.000000
281474976710655.000000	18.033234	3243	3616884480.000000
281474976710655.000000	17.661274	3244	3617917952.000000
281474976710655.000000	18.189238	3245	3618955008.000000
281474976710655.000000	17.871977	3246	3619988736.000000
281474976710655.000000	14.251241	3247	3621026048.000000
281474976710655.000000	14.920928	3248	3622059008.000000
281474976710655.000000	13.657922	3249	3623097600.000000
281474976710655.000000	17.991831	3250	3624129536.000000
281474976710655.000000	17.976246	3251	3625168640.000000
281474976710655.000000	20.305229	3252	3626199808.000000
281474976710655.000000	18.427887	3253	3627239936.000000
281474976710655.000000	24.180733	3254	3628270336.000000
