time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4314.804051	130.618591	0.035722	3.656561	101
4315.834106	141.212418	0.035727	3.952544	102
4316.887209	123.567474	0.035724	3.458949	103
4317.921768	126.511520	0.035732	3.540576	104
4318.971457	123.437614	0.035735	3.454296	105
4320.007685	122.992081	0.035719	3.443280	106
4321.055176	114.463257	0.035729	3.203673	107
4322.089313	122.036758	0.035731	3.415475	108
4323.135482	106.726662	0.035724	2.987525	109
4324.177724	111.472572	0.035726	3.120236	110
4325.216125	110.190422	0.035733	3.083707	111
4326.259073	105.176476	0.035728	2.943823	112
4327.295465	101.980286	0.035730	2.854221	113
4328.339637	104.792519	0.035724	2.933388	114
4329.376674	131.962341	0.035731	3.693264	115
4330.421548	99.980621	0.035736	2.797753	116
4331.459323	91.208504	0.035732	2.552541	117
4332.501800	95.836609	0.035728	2.682393	118
4333.542862	88.696487	0.035733	2.482230	119
4334.581694	86.999176	0.035721	2.435530	120
4335.623416	85.417213	0.035725	2.390978	121
4336.655854	92.507271	0.035734	2.588778	122
4337.705785	81.564728	0.035727	2.283006	123
4338.734033	93.314598	0.035729	2.611731	124
4339.785186	78.923141	0.035731	2.208832	125
4340.814575	80.302460	0.035737	2.247016	126
4341.867004	74.097397	0.035728	2.073903	127
4342.893607	83.743530	0.035725	2.344088	128
4343.944272	74.709290	0.035727	2.091093	129
4344.973082	78.551727	0.035724	2.198866	130
4346.023641	67.155174	0.035745	1.878740	131
4347.053231	77.156944	0.035732	2.159340	132
4348.100772	69.298187	0.035731	1.939468	133
4349.131437	71.908112	0.035725	2.012796	134
4350.177558	59.757156	0.035721	1.672881	135
4351.211326	71.779785	0.035735	2.008657	136
4352.257075	63.585266	0.035732	1.779484	137
4353.288744	70.256195	0.035733	1.966126	138
4354.334994	60.524139	0.035727	1.694072	139
4355.368759	69.074402	0.035748	1.932242	140
4356.413699	63.469818	0.035726	1.776550	141
4357.446183	63.979939	0.035725	1.790915	142
4358.492930	59.195045	0.035729	1.656799	143
4359.522828	64.523323	0.035735	1.805623	144
4360.573404	56.577255	0.035726	1.583657	145
4361.600491	62.413002	0.035734	1.746601	146
4362.651109	55.793385	0.035721	1.561931	147
4363.676699	44.378315	0.035722	1.242321	148
4364.728282	56.208645	0.035730	1.573144	149
4365.756973	58.038181	0.035726	1.624541	150
4366.805120	55.667015	0.035724	1.558266	151
4367.832927	61.093155	0.035728	1.709972	152
4368.883856	50.559204	0.035732	1.414941	153
4369.914100	56.776188	0.035732	1.588939	154
4370.958424	53.293171	0.035721	1.491939	155
4371.992937	55.055504	0.035733	1.540744	156
4373.034496	52.457237	0.035736	1.467919	157
4374.072708	53.389397	0.035726	1.494410	158
4375.111399	49.317768	0.035736	1.380062	159
4376.151334	52.735634	0.035747	1.475257	160
4377.188036	46.987034	0.035727	1.315166	161
4378.230390	55.002239	0.035732	1.539285	162
4379.263237	48.505283	0.035727	1.357656	163
4380.306964	51.148964	0.035726	1.431711	164
4381.342163	45.882034	0.035720	1.284496	165
4382.385228	49.708340	0.035757	1.390159	166
4383.418881	37.520260	0.035729	1.050136	167
4384.459063	51.721725	0.035728	1.447649	168
4385.499071	42.897186	0.035736	1.200389	169
4386.537497	49.077633	0.035733	1.373469	170
4387.576394	44.348789	0.035730	1.241219	171
4388.613935	46.661896	0.035725	1.306145	172
4389.655428	43.258732	0.035734	1.210593	173
4390.689109	48.441727	0.035728	1.355859	174
4391.732308	42.807579	0.035733	1.197997	175
4392.766972	46.673775	0.035734	1.306163	176
4393.810080	42.452972	0.035728	1.188223	177
4394.844634	46.083721	0.035730	1.289765	178
4395.885358	43.254864	0.035721	1.210916	179
4396.928019	40.688610	0.035719	1.139118	180
4397.962917	41.951538	0.035724	1.174313	181
4398.998514	46.126781	0.035725	1.291167	182
4400.039548	41.136650	0.035730	1.151334	183
4401.077019	44.524166	0.035725	1.246303	184
4402.116023	38.599953	0.035726	1.080432	185
4403.154922	44.175587	0.035723	1.236611	186
4404.191057	39.115700	0.035732	1.094699	187
4405.232666	42.511353	0.035723	1.190043	188
4406.270065	36.407871	0.035725	1.019120	189
4407.312140	42.143368	0.035733	1.179388	190
4408.346469	37.631622	0.035726	1.053339	191
4409.387860	41.044979	0.035724	1.148954	192
4410.422907	37.918514	0.035730	1.061263	193
4411.462566	41.132965	0.035740	1.150879	194
4412.502785	37.521156	0.035722	1.050364	195
4413.538745	40.343773	0.035725	1.129303	196
4414.581773	31.010160	0.035732	0.867859	197
4415.614595	40.222584	0.035739	1.125461	198
4416.658406	37.397320	0.035723	1.046864	199
4417.699580	32.813728	0.035726	0.918488	200
4418.736532	37.035549	0.035724	1.036718	201
4419.764742	40.203606	0.035727	1.125308	202
4420.814775	34.686497	0.035736	0.970619	203
4421.842506	37.259441	0.035731	1.042787	204
4422.892452	35.064907	0.035722	0.981592	205
4423.919699	27.859707	0.035722	0.779908	206
4424.968197	35.460922	0.035727	0.992548	207
4425.994085	40.570404	0.035726	1.135606	208
4427.047446	33.667118	0.035722	0.942479	209
4428.072605	36.959095	0.035719	1.034705	210
4429.122280	25.994743	0.035733	0.727463	211
4430.150237	36.657074	0.035729	1.025964	212
4431.198327	34.267548	0.035724	0.959238	213
4432.226556	37.897133	0.035720	1.060944	214
4433.277475	32.723495	0.035723	0.916045	215
4434.304046	36.267185	0.035727	1.015109	216
4435.351563	33.844936	0.035729	0.947269	217
4436.380481	25.293909	0.035726	0.707999	218
4437.429568	32.800434	0.035761	0.917224	219
4438.456263	37.431335	0.035728	1.047682	220
4439.506277	32.496071	0.035723	0.909665	221
4440.534155	34.269615	0.035729	0.959162	222
4441.584001	39.630630	0.035729	1.109198	223
4442.610082	34.081581	0.035727	0.953953	224
4443.660150	31.729092	0.035722	0.888214	225
4444.686155	34.638588	0.035725	0.969583	226
4445.737641	29.970314	0.035724	0.838932	227
4446.764684	35.496826	0.035726	0.993574	228
